Task,Comparison,Samples,p50 Max Abs,p95 Max Abs,p99 Max Abs,Max Abs
Cartesian To Keplerian,Orekit vs Basilisk,100,22.15 mm,48.26 mm,61.56 mm,61.60 mm
Cartesian To Keplerian,Orekit vs GMAT,100,22.15 mm,48.26 mm,61.56 mm,61.60 mm
Cartesian To Keplerian,Orekit vs Brahe (Python),100,3.73 nm,7.45 nm,14.98 nm,22.35 nm
Cartesian To Keplerian,Orekit vs Brahe (Rust),100,3.73 nm,11.18 nm,22.35 nm,22.35 nm
Keplerian To Cartesian,Orekit vs Basilisk,100,1.29 µm,2.23 µm,3.25 µm,3.38 µm
Keplerian To Cartesian,Orekit vs GMAT,100,1.29 µm,2.23 µm,3.25 µm,3.38 µm
Keplerian To Cartesian,Orekit vs Brahe (Python),100,3.26 nm,13.04 nm,14.93 nm,17.58 nm
Keplerian To Cartesian,Orekit vs Brahe (Rust),100,3.73 nm,15.92 nm,22.37 nm,24.21 nm
