Task,Orekit,GMAT,Basilisk,Nyx,Brahe (Python),Brahe (Rust),GMAT Speedup,Basilisk Speedup,Nyx Speedup,Brahe (Python) Speedup,Brahe (Rust) Speedup
ECEF To AzEl,256.3 µs,—,—,56.6 µs,120.2 µs,11.0 µs,—,—,4.53×,2.13×,23.3×
ECEF To Geocentric,97.9 µs,97.9 µs,—,—,49.6 µs,820.6 ns,1.00×,—,—,1.97×,119.3×
ECEF To Geodetic,106.1 µs,148.8 µs,187.2 µs,7.2 µs,60.0 µs,5.2 µs,0.71×,0.57×,14.8×,1.77×,20.6×
Geocentric To ECEF,109.4 µs,99.6 µs,—,—,51.2 µs,665.8 ns,1.10×,—,—,2.14×,164.3×
Geodetic To ECEF,92.7 µs,118.3 µs,32.8 µs,1.4 µs,50.6 µs,813.8 ns,0.78×,2.83×,67.5×,1.83×,113.9×
