Task,Orekit,GMAT,Basilisk,Brahe (Python),Brahe (Rust),GMAT Speedup,Basilisk Speedup,Brahe (Python) Speedup,Brahe (Rust) Speedup
Euler Angle To Quaternion,918.4 µs,119.7 µs,78.1 µs,27.3 µs,1.5 µs,7.67×,11.8×,33.7×,614.0×
Quaternion To Euler Angle,932.0 µs,161.2 µs,158.3 µs,20.4 µs,2.1 µs,5.78×,5.89×,45.8×,447.4×
Quaternion To Rotation Matrix,877.5 µs,210.3 µs,183.2 µs,119.5 µs,375.1 ns,4.17×,4.79×,7.34×,2339.5×
Rotation Matrix To Quaternion,1.26 ms,110.2 µs,220.7 µs,176.0 µs,1.3 µs,11.4×,5.69×,7.14×,957.2×
