Task,Orekit,GMAT,Basilisk,Brahe (Python),Brahe (Rust),GMAT Speedup,Basilisk Speedup,Brahe (Python) Speedup,Brahe (Rust) Speedup
State ECEF To ECI,3.02 ms,42.77 ms,477.0 µs,213.0 µs,178.6 µs,0.07×,6.33×,14.2×,16.9×
State ECI To ECEF,2.75 ms,41.96 ms,491.5 µs,220.2 µs,171.7 µs,0.07×,5.60×,12.5×,16.0×
