Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2025-11-16 20:55:37,-49.37,188.49
2025-11-16 20:56:27,-48.25,184.23
2025-11-16 20:57:16,-45.91,175.29
2025-11-16 20:58:06,-40.56,154.88
2025-11-16 20:58:55,-27.32,104.32
2025-11-16 20:59:45,0.32,-1.21
2025-11-16 21:00:34,27.68,-105.67
2025-11-16 21:01:23,40.71,-155.45
2025-11-16 21:02:13,45.99,-175.58
2025-11-16 21:03:02,48.30,-184.43
2025-11-16 21:03:52,49.41,-188.66
