Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X36,2025-11-16 20:08:02,2025-11-16 20:12:28,266.3,38.2
ICEYE-X11,2025-11-16 20:16:25,2025-11-16 20:27:38,673.0,40.0
ICEYE-X50,2025-11-16 20:23:47,2025-11-16 20:30:28,400.5,40.0
ICEYE-X38,2025-11-16 20:24:51,2025-11-16 20:31:42,411.0,40.0
ICEYE-X54,2025-11-16 20:26:50,2025-11-16 20:32:52,362.6,40.0
ICEYE-X13,2025-11-16 20:35:44,2025-11-16 20:46:26,642.1,40.0
ICEYE-X53,2025-11-16 20:38:12,2025-11-16 20:44:09,356.3,40.0
ICEYE-X52,2025-11-16 20:42:13,2025-11-16 20:48:11,357.9,40.0
ICEYE-X37,2025-11-16 20:42:25,2025-11-16 20:48:52,387.6,40.0
ICEYE-X26,2025-11-16 20:43:05,2025-11-16 20:49:46,401.1,40.0
