Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-05,2025-11-19 20:29:58,2025-11-20 03:30:37,7h 39s,Hartebeesthoek,Punta Arenas
UMBRA-05,2025-11-19 03:02:33,2025-11-19 08:08:52,5h 6m 18s,Punta Arenas,Athens
UMBRA-05,2025-11-18 22:19:43,2025-11-19 02:58:18,4h 38m 34s,Awarua,Punta Arenas
UMBRA-05,2025-11-18 03:30:22,2025-11-18 07:27:08,3h 56m 45s,Punta Arenas,Hartebeesthoek
UMBRA-08,2025-11-19 04:48:35,2025-11-19 08:26:24,3h 37m 48s,Punta Arenas,Svalbard
UMBRA-08,2025-11-22 04:52:36,2025-11-22 08:30:18,3h 37m 41s,Punta Arenas,Svalbard
UMBRA-05,2025-11-17 03:43:25,2025-11-17 07:17:39,3h 34m 14s,Punta Arenas,Svalbard
UMBRA-08,2025-11-20 00:23:09,2025-11-20 03:42:24,3h 19m 15s,Awarua,Punta Arenas
UMBRA-08,2025-11-23 00:25:37,2025-11-23 03:44:51,3h 19m 14s,Awarua,Punta Arenas
UMBRA-08,2025-11-17 00:15:45,2025-11-17 03:34:49,3h 19m 4s,Awarua,Punta Arenas
