Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X23,2025-11-17 19:55:07,2025-11-17 20:02:14,427.5,39.7
ICEYE-X36,2025-11-17 20:02:18,2025-11-17 20:09:19,421.3,40.0
ICEYE-X38,2025-11-17 20:16:20,2025-11-17 20:23:19,419.4,40.0
ICEYE-X30,2025-11-17 20:18:33,2025-11-17 20:25:29,415.7,40.0
ICEYE-X25,2025-11-17 20:20:57,2025-11-17 20:27:25,387.5,40.0
ICEYE-X50,2025-11-17 20:30:20,2025-11-17 20:37:06,406.1,40.0
ICEYE-X13,2025-11-17 20:33:27,2025-11-17 20:44:14,647.1,40.0
ICEYE-X54,2025-11-17 20:34:45,2025-11-17 20:40:45,359.9,40.0
ICEYE-X53,2025-11-17 20:38:50,2025-11-17 20:44:46,356.0,40.0
ICEYE-X37,2025-11-17 20:39:52,2025-11-17 20:46:22,389.3,40.0
