Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2025-11-17 20:08:00,-44.26,168.99
2025-11-17 20:08:45,-41.33,157.82
2025-11-17 20:09:29,-36.51,139.41
2025-11-17 20:10:13,-28.56,109.03
2025-11-17 20:10:58,-16.16,61.68
2025-11-17 20:11:42,0.18,-0.67
2025-11-17 20:12:27,16.47,-62.87
2025-11-17 20:13:11,28.79,-109.92
2025-11-17 20:13:55,36.69,-140.07
2025-11-17 20:14:40,41.48,-158.37
2025-11-17 20:15:24,44.39,-169.50
