Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X5,2026-04-17 06:32:23,2026-04-17 06:33:30,67.5,35.9
ICEYE-X31,2026-04-17 06:32:23,2026-04-17 06:33:01,38.3,35.6
ICEYE-X4,2026-04-17 06:37:49,2026-04-17 06:45:34,464.2,40.0
ICEYE-X51,2026-04-17 06:45:16,2026-04-17 06:45:55,38.6,40.0
ICEYE-X45,2026-04-17 06:46:52,2026-04-17 06:51:59,306.6,39.5
ICEYE-X51,2026-04-17 06:46:57,2026-04-17 06:47:36,38.8,40.0
ICEYE-X50,2026-04-17 06:49:58,2026-04-17 06:50:27,28.7,40.0
ICEYE-X46,2026-04-17 06:50:21,2026-04-17 06:50:49,28.0,40.0
ICEYE-X66,2026-04-17 06:53:31,2026-04-17 06:59:38,367.1,40.0
ICEYE-X64,2026-04-17 06:55:19,2026-04-17 07:08:34,795.8,40.0
