Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-17 (ACADIA-7),2026-03-09 19:11:45,2026-03-09 20:06:13,Bangalore,54m 27s
CAPELLA-19 (ACADIA-9),2026-03-09 11:29:14,2026-03-09 12:23:40,Bangalore,54m 26s
CAPELLA-18 (ACADIA-8),2026-03-04 11:22:48,2026-03-04 12:16:58,Bangalore,54m 9s
CAPELLA-17 (ACADIA-7),2026-03-08 19:02:41,2026-03-08 19:56:47,Bangalore,54m 6s
CAPELLA-18 (ACADIA-8),2026-03-05 11:34:08,2026-03-05 12:24:44,Mauritius,50m 36s
