Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2026-03-10 01:00:45,2026-03-10 03:29:03,2h 28m 18s,Svalbard,Punta Arenas
UMBRA-09,2026-03-10 01:01:35,2026-03-10 03:29:52,2h 28m 17s,Svalbard,Punta Arenas
UMBRA-10,2026-03-09 01:13:48,2026-03-09 03:41:56,2h 28m 7s,Svalbard,Punta Arenas
UMBRA-09,2026-03-09 01:14:34,2026-03-09 03:42:41,2h 28m 7s,Svalbard,Punta Arenas
UMBRA-10,2026-03-08 01:26:48,2026-03-08 03:54:49,2h 28m 1s,Svalbard,Punta Arenas
UMBRA-09,2026-03-08 01:27:31,2026-03-08 03:55:32,2h 28m,Svalbard,Punta Arenas
UMBRA-11,2026-03-07 00:14:24,2026-03-07 02:42:17,2h 27m 53s,Svalbard,Punta Arenas
UMBRA-11,2026-03-06 00:34:15,2026-03-06 03:01:52,2h 27m 37s,Svalbard,Punta Arenas
UMBRA-11,2026-03-10 00:48:19,2026-03-10 03:15:50,2h 27m 31s,Svalbard,Punta Arenas
UMBRA-12,2026-03-04 19:38:13,2026-03-04 21:11:52,1h 33m 39s,Svalbard,Svalbard
