Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X11,2026-03-03 22:28:47,2026-03-03 22:29:30,43.4,35.4
ICEYE-X26,2026-03-03 22:31:19,2026-03-03 22:37:05,346.1,40.0
ICEYE-X67,2026-03-03 22:37:35,2026-03-03 22:43:34,359.0,40.0
ICEYE-X36,2026-03-03 22:39:54,2026-03-03 22:45:40,345.4,40.0
ICEYE-X30,2026-03-03 22:40:30,2026-03-03 22:46:05,334.9,40.0
ICEYE-X51,2026-03-03 22:42:36,2026-03-03 22:52:40,604.0,40.0
ICEYE-X25,2026-03-03 22:46:27,2026-03-03 22:51:57,329.4,40.0
ICEYE-X37,2026-03-03 22:53:01,2026-03-03 22:58:46,345.5,40.0
ICEYE-X7,2026-03-03 22:54:50,2026-03-03 23:00:24,334.8,40.0
ICEYE-X38,2026-03-03 22:58:13,2026-03-03 23:03:57,343.3,40.0
