Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-05,2025-11-09 23:00:04,2025-11-10 02:55:50,3h 55m 45s,Svalbard,Punta Arenas
UMBRA-05,2025-11-08 22:43:08,2025-11-09 02:38:23,3h 55m 14s,Svalbard,Punta Arenas
UMBRA-08,2025-11-11 04:44:08,2025-11-11 08:22:24,3h 38m 16s,Punta Arenas,Svalbard
UMBRA-05,2025-11-08 03:56:45,2025-11-08 07:33:32,3h 36m 46s,Punta Arenas,Svalbard
UMBRA-05,2025-11-13 03:49:19,2025-11-13 07:25:27,3h 36m 8s,Punta Arenas,Svalbard
UMBRA-05,2025-11-12 03:34:55,2025-11-12 07:10:57,3h 36m 2s,Punta Arenas,Svalbard
UMBRA-08,2025-11-12 00:22:33,2025-11-12 03:42:16,3h 19m 43s,Awarua,Punta Arenas
UMBRA-08,2025-11-09 00:01:45,2025-11-09 03:20:55,3h 19m 10s,Awarua,Punta Arenas
UMBRA-08,2025-11-14 00:05:16,2025-11-14 03:24:18,3h 19m 1s,Awarua,Punta Arenas
UMBRA-05,2025-11-07 23:02:31,2025-11-08 02:20:10,3h 17m 38s,Awarua,Punta Arenas
