Task,Orekit,GMAT,Basilisk,Nyx,Brahe (Python),Brahe (Rust),GMAT Speedup,Basilisk Speedup,Nyx Speedup,Brahe (Python) Speedup,Brahe (Rust) Speedup
Cartesian To Keplerian,299.3 µs,158.8 µs,1.96 ms,5.5 µs,64.1 µs,5.0 µs,1.88×,0.15×,54.4×,4.67×,59.4×
Keplerian To Cartesian,289.1 µs,148.3 µs,114.9 µs,10.4 µs,66.4 µs,7.6 µs,1.95×,2.52×,27.8×,4.36×,38.2×
