Spacecraft,Start Time (UTC),End Time (UTC),Duration (sec),Off-Nadir Angle (deg)
ICEYE-X53,2026-06-05 20:48:36,2026-06-05 20:52:57,261.8,38.7
ICEYE-X46,2026-06-05 20:50:19,2026-06-05 20:57:27,428.1,40.0
ICEYE-X36,2026-06-05 20:53:19,2026-06-05 20:59:55,395.4,40.0
ICEYE-X50,2026-06-05 20:54:51,2026-06-05 21:02:04,433.3,40.0
ICEYE-X25,2026-06-05 20:56:12,2026-06-05 21:02:47,394.9,40.0
ICEYE-X51,2026-06-05 21:07:44,2026-06-05 21:14:55,431.6,40.0
ICEYE-X54,2026-06-05 21:14:57,2026-06-05 21:20:47,350.5,40.0
ICEYE-X11,2026-06-05 21:22:43,2026-06-05 21:34:17,694.5,40.0
ICEYE-X57,2026-06-05 21:24:36,2026-06-05 21:25:50,74.0,43.6
ICEYE-X78,2026-06-05 21:31:21,2026-06-05 21:38:54,452.1,40.0
