Time (UTC),S-band Doppler (kHz),X-band Doppler (kHz)
2026-06-05 22:11:10,-50.15,191.49
2026-06-05 22:12:00,-49.47,188.90
2026-06-05 22:12:51,-47.90,182.91
2026-06-05 22:13:41,-43.96,167.86
2026-06-05 22:14:31,-32.30,123.34
2026-06-05 22:15:22,-0.61,2.32
2026-06-05 22:16:12,31.67,-120.94
2026-06-05 22:17:02,43.78,-167.17
2026-06-05 22:17:52,47.87,-182.76
2026-06-05 22:18:43,49.49,-188.97
2026-06-05 22:19:33,50.20,-191.67
