Spacecraft,Gap Start (UTC),Gap End (UTC),Duration,Last Station,Next Station
UMBRA-10,2026-06-09 00:59:15,2026-06-09 03:27:38,2h 28m 23s,Svalbard,Punta Arenas
UMBRA-09,2026-06-09 01:00:16,2026-06-09 03:28:37,2h 28m 21s,Svalbard,Punta Arenas
UMBRA-11,2026-06-09 23:56:14,2026-06-10 02:24:23,2h 28m 9s,Svalbard,Punta Arenas
UMBRA-07,2026-06-06 23:26:59,2026-06-07 01:55:09,2h 28m 9s,Svalbard,Punta Arenas
UMBRA-11,2026-06-05 23:57:31,2026-06-06 02:25:40,2h 28m 8s,Svalbard,Punta Arenas
UMBRA-10,2026-06-08 01:15:06,2026-06-08 03:43:13,2h 28m 6s,Svalbard,Punta Arenas
UMBRA-09,2026-06-08 01:16:02,2026-06-08 03:44:07,2h 28m 5s,Svalbard,Punta Arenas
UMBRA-07,2026-06-05 23:34:33,2026-06-06 02:02:38,2h 28m 5s,Svalbard,Punta Arenas
UMBRA-10,2026-06-07 01:30:54,2026-06-07 03:58:50,2h 27m 56s,Svalbard,Punta Arenas
UMBRA-09,2026-06-07 01:31:45,2026-06-07 03:59:40,2h 27m 55s,Svalbard,Punta Arenas
