Station,Start Time (UTC),End Time (UTC),Duration (min),Max Elevation (deg)
Svalbard,2026-06-05 19:18:05,2026-06-05 19:30:15,12.2,77.5
Kiruna,2026-06-05 19:20:15,2026-06-05 19:31:48,11.5,40.9
Troll,2026-06-05 20:03:13,2026-06-05 20:10:50,7.6,10.9
McMurdo,2026-06-05 20:08:34,2026-06-05 20:20:47,12.2,56.2
Awarua,2026-06-05 20:16:55,2026-06-05 20:27:55,11.0,29.3
Svalbard,2026-06-05 20:56:57,2026-06-05 21:09:03,12.1,72.3
Kiruna,2026-06-05 20:58:44,2026-06-05 21:08:55,10.2,22.3
Santiago,2026-06-05 21:30:54,2026-06-05 21:41:56,11.0,29.9
McMurdo,2026-06-05 21:47:35,2026-06-05 21:59:56,12.4,87.6
Dongara,2026-06-05 22:02:42,2026-06-05 22:14:23,11.7,42.0
Singapore,2026-06-05 22:12:23,2026-06-05 22:22:32,10.2,21.9
Svalbard,2026-06-05 22:35:34,2026-06-05 22:47:34,12.0,60.7
Kiruna,2026-06-05 22:36:28,2026-06-05 22:45:56,9.5,18.2
Wallops,2026-06-05 22:50:10,2026-06-05 23:01:46,11.6,40.7
Ponce de Leon,2026-06-05 22:53:09,2026-06-05 23:04:03,10.9,27.9
Merrit Island,2026-06-05 22:53:15,2026-06-05 23:04:13,11.0,28.9
Santiago,2026-06-05 23:09:41,2026-06-05 23:20:23,10.7,24.9
McMurdo,2026-06-05 23:26:19,2026-06-05 23:38:32,12.2,63.8
Dongara,2026-06-05 23:42:15,2026-06-05 23:51:25,9.2,16.5
Singapore,2026-06-05 23:50:51,2026-06-06 00:00:54,10.1,21.1
