Satellite,AOI Exit (UTC),Contact Start (UTC),Station,Latency
CAPELLA-18 (ACADIA-8),2026-06-07 11:27:48,2026-06-07 12:22:12,Bangalore,54m 24s
CAPELLA-19 (ACADIA-9),2026-06-08 11:27:00,2026-06-08 12:21:25,Bangalore,54m 24s
CAPELLA-15 (ACADIA-5),2026-06-05 16:25:27,2026-06-05 17:19:46,Bangalore,54m 18s
CAPELLA-15 (ACADIA-5),2026-06-06 16:33:21,2026-06-06 17:23:26,Mauritius,50m 4s
CAPELLA-19 (ACADIA-9),2026-06-09 11:40:17,2026-06-09 12:29:39,Mauritius,49m 22s
